iter	Logloss
305	0.1937045704
306	0.1935946407
307	0.193502967
308	0.1934332292
309	0.1933213807
310	0.1929203015
311	0.1927852309
312	0.1926835301
313	0.1925631105
314	0.1924961469
315	0.1924178327
316	0.1923179654
317	0.1922527378
318	0.1921811448
319	0.1921061059
320	0.1920257296
321	0.1919436857
322	0.1918691478
323	0.1917415114
324	0.1916756149
325	0.1915767841
326	0.191518864
327	0.1914432442
328	0.1913835869
329	0.1913145748
330	0.1912084729
331	0.1911315967
332	0.1910610731
333	0.1909747698
334	0.1908932377
335	0.1908312457
336	0.190756113
337	0.1906611439
338	0.1905821634
339	0.1905222299
340	0.1904580221
341	0.1904033772
342	0.1903461814
343	0.1902759424
344	0.1901778686
345	0.1901241404
346	0.190064329
347	0.1899642388
348	0.189887332
349	0.1898020473
350	0.1896700509
351	0.1894890594
352	0.1894118624
353	0.189339591
354	0.1892292507
355	0.1891202522
356	0.1890004892
357	0.1888891855
358	0.1888177966
359	0.1887471608
360	0.1885695932
361	0.1885089482
362	0.1884460367
363	0.1883704341
364	0.1882968596
365	0.1882227825
366	0.1881615286
367	0.1881213173
368	0.1880287978
369	0.1877475572
370	0.1876217434
371	0.1875488477
372	0.187431918
373	0.1873349964
374	0.1872364915
375	0.1871342753
376	0.1870317006
377	0.1869354941
378	0.1868302403
379	0.1867840413
380	0.1866859816
381	0.1866326798
382	0.1863773148
383	0.1862798906
384	0.1862046599
385	0.1861298779
386	0.1860310239
387	0.1859564193
388	0.1858729387
389	0.1857995276
390	0.1856994513
391	0.1856273264
392	0.1855753034
393	0.1855121942
394	0.1854270907
395	0.1853592656
396	0.1853038459
397	0.1852239306
398	0.1851320902
399	0.1850555927
328448723
